"name","hour","max_high"
"OKTA","9","244.2700042725"
"NFLX","9","505.1931152344"
"FB","9","284.9299926758"
"TTD","9","905.0"
"SNAP","9","45.2000007629"
"PINS","9","71.0999984741"
"BYND","9","140.9100036621"
"SQ","9","212.9499969482"
"SHOP","9","1086.0"
"DDOG","9","98.8000030518"
"OKTA","10","241.3999938965"
"SNAP","10","44.8499984741"
"SHOP","10","1087.7298583984"
"NFLX","10","507.4200134277"
"DDOG","10","96.8799972534"
"BYND","10","139.1549987793"
"FB","10","286.1099853516"
"TTD","10","895.950012207"
"PINS","10","69.5199966431"
"SQ","10","209.5500030518"
"DDOG","11","95.8899993896"
"TTD","11","885.7800292969"
"SQ","11","207.9239959717"
"BYND","11","138.5"
"NFLX","11","504.5398864746"
"OKTA","11","239.5"
"PINS","11","69.3887023926"
"SNAP","11","44.9900016785"
"SHOP","11","1077.8498535156"
"FB","11","288.950012207"
"BYND","12","138.7200012207"
"NFLX","12","506.4800109863"
"SHOP","12","1076.8100585938"
"DDOG","12","95.5400009155"
"PINS","12","69.1500015259"
"FB","12","289.299987793"
"SNAP","12","44.9199981689"
"TTD","12","883.4400024414"
"OKTA","12","239.0"
"SQ","12","207.4151000977"
"OKTA","13","240.0399932861"
"DDOG","13","95.4899978638"
"FB","13","288.9599914551"
"NFLX","13","509.4700012207"
"SHOP","13","1081.8399658203"
"BYND","13","138.8800048828"
"SQ","13","208.3200073242"
"TTD","13","892.0"
"PINS","13","69.25"
"SNAP","13","45.1500015259"
"SHOP","14","1075.1700439453"
"SNAP","14","44.9749984741"
"TTD","14","887.5300292969"
"NFLX","14","507.4949951172"
"OKTA","14","238.8728942871"
"FB","14","288.75"
"SQ","14","207.4499969482"
"DDOG","14","95.7399978638"
"BYND","14","138.6699981689"
"PINS","14","69.0800018311"
"TTD","15","893.1599731445"
"SQ","15","204.0"
"DDOG","15","96.0299987793"
"OKTA","15","237.8650054932"
"FB","15","287.1199951172"
"BYND","15","137.8899993896"
"SNAP","15","44.7999992371"
"SHOP","15","1072.2800292969"
"PINS","15","68.3700027466"
"NFLX","15","505.3399963379"
,,
